name,note,source,group,subgroup
Tsuiho - The Fires of Heaven,Correspondence 4,Dragons of the East page 60; Enlightened Grimoire p. 43,Elemental Magick,
Tumo,"Life 2, optional Forces 2",Tradition Book: Akashic Brotherhood (Revised) page 70; Enlightened Grimoire p. 179,Transformations,
"Tune In, Turn On, Drop Out","Time 4, Life 3",Mage: The Ascension First Edition page 228; Enlightened Grimoire p. 147,Space-Time Management,
Turkey Basting,"Mind 3, Life 3",Technocracy: Syndicate page 48; Enlightened Grimoire p. 79,Healing and Harming,
TWACI,"Correspondence 3, Forces 3, Mind 2",Tradition Book: Virtual Adepts (Revised) page 66; Enlightened Grimoire p. 39,Elemental Magick,
Twisted Yarrow Stalks,"Mind 3, Correspondence 4, Entropy 2",Dragons of the East page 66; Enlightened Grimoire p. 163,"Summoning, Binding and Warding",
Ultimate Argument,Mind 3,Order of Reason page 80; Enlightened Grimoire p. 197,Uncanny Influence,
Umbral Visions,"Correspondence 2 or 3, Mind 1, Spirit 2",Tradition Book: Dreamspeakers (Revised) page 67; Enlightened Grimoire p. 115,Movement and Communication,
Unraveling the Text,"Entropy 2, Matter 2, Prime 2",Book of Shadows page 142; Enlightened Grimoire p. 107,Movement and Communication,
Unseen Arm,"Forces 5, Prime 2",Mage: The Ascension First Edition page 223; Enlightened Grimoire p. 97,Miscellaneous,
Unseen Nomenclature,"Mind 2, Matter 2, Prime 2",Book of Shadows page 142; Enlightened Grimoire p. 107,Movement and Communication,
Uther's Butchered Visage,"Life 3, Mind 1",Mage: The Ascension First Edition page 224; Enlightened Grimoire p. 167,Transformations,
Vext,"Entropy 2, Time 3",Tradition Book: Hollow Ones (Revised) page 64; Enlightened Grimoire p. 15,Blessings and Curses,
View the Scattered Lotus Petals,"Time 2, Entropy 1, optional Correspondence 2; Entropy 2, Time 2",Tradition Book: Euthanatos (Revised) page 60; Enlightened Grimoire p. 33,Divination and Fate,
Visionary Bloodletting,"Spirit 2, Mind 1",Dead Magic page 76; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Vitality,Prime 2,Order of Reason page 82; Enlightened Grimoire p. 92,Inanimate Objects,
Voice Across the Void,"Correspondence 2, Mind 3, Spirit 3",Tradition Book: Hollow Ones (Revised) page 66; Enlightened Grimoire p. 131,Necromancy,
Voice of the Jade Ancestors,"Mind 2, Spirit 2",Book of Crafts page 134; Enlightened Grimoire p. 131,Necromancy,
Vulcan’s Hammer,"Life 4, Matter 3, Forces 3, optional Prime 2",Tradition Book: Order of Hermes (Revised) page 67; Enlightened Grimoire p. 175,Transformations,
Walking the Open Path,"Spirit 2, Prime 1",Tradition Book: Dreamspeakers (Revised) page 66; Enlightened Grimoire p. 115,Movement and Communication,
Wall of Mirrors,"Correspondence 4, Forces 3",Book of Shadows page 140; Enlightened Grimoire p. 163,"Summoning, Binding and Warding",
Ward Rune,"Correspondence 4, Mind 3, optional Spirit 2",Dead Magic 2 page 99; Enlightened Grimoire p. 163,"Summoning, Binding and Warding",
Warding Heads,"Spirit 3; Correspondence 2, Spirit 2",Dead Magic page 30; Enlightened Grimoire p. 163,"Summoning, Binding and Warding",
Watch the Weaving,Prime 1,Mage: The Ascension Revised page 182; Enlightened Grimoire p. 46,Energy-Work,
Waters of the Well of Life,Life 5,Tradition Book: Verbena (Revised) page 68; Enlightened Grimoire p. 79,Healing and Harming,
Wayfarer’s Reckoning,"Correspondence 2, Forces 1, Matter 1",Mage: The Sorcerer’s Crusade page 271; Enlightened Grimoire p. 99,Movement and Communication,
We'll Get There,"Correspondence 1, Entropy 2",Tradition Book: Hollow Ones (Revised) page 64; Enlightened Grimoire p. 99,Movement and Communication,
Weather Working,Forces 4,Mage: The Ascension Revised page 167 (as Storm Watch); Dead Magic 2 page 103; Enlightened Grimoire p. 44,Elemental Magick,
Weaver's Retribution,"Spirit 4, Correspondence 3, Forces 3, Mind 2, Prime 2",Lost Paths: Ahl-i-Batin and Taftani page 92; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Webcrawlers,"Correspondence 3, Forces 3, Prime 2",Tradition Book: Virtual Adepts (Revised) page 66; Enlightened Grimoire p. 20,Computers,
Welcoming the Jester,"Mind 4 or Entropy 2, Mind 2",World of Darkness: Outcasts page 91; Enlightened Grimoire p. 197,Uncanny Influence,
"Well, It Is Vegas",Mind 3,Fallen Tower: Las Vegas pas 121; Enlightened Grimoire p. 140,Obfuscation,
Wildfire,"Entropy 2, Forces 2",Tradition Book: Order of Hermes (Revised) page 68; Enlightened Grimoire p. 43,Elemental Magick,
Willful Binding,Mind 4,Tradition Book: Verbena (Revised) page 69; Enlightened Grimoire p. 197,Uncanny Influence,
Wind-Water Skein,"Correspondence 3, Matter 3, Forces 2, Prime 2",Dragons of the East page 66; Enlightened Grimoire p. 63,Enhanced Combat,
Wings of the Lasa,"Life 3, Spirit 3",Dead Magic 2 page 145; Enlightened Grimoire p. 109,Movement and Communication,
Wolf Form,"Life 4, Mind 2",Dead Magic 2 page 129; Enlightened Grimoire p. 175,Transformations,
Workflow,"Mind 2, Time 3",Convention Book: Syndicate (Revised) page 75; Enlightened Grimoire p. 190,Uncanny Influence,
Wrath of God,Prime 2,Order of Reason page 82; Enlightened Grimoire p. 59,Enhanced Combat,
Writing on the Wall,"Matter 1, Mind 3",Tradition Book: Hollow Ones (Revised) page 64; Enlightened Grimoire p. 108,Movement and Communication,
Wyrd Visions,"Correspondence 2, Entropy 1, Time 2",Dead Magic 2 page 102; Enlightened Grimoire p. 29,Divination and Fate,
Yao Su Dragon Thunder,"Forces 3 or Matter 3, Spirit 2, Prime 2",Book of Crafts page 135; Enlightened Grimoire p. 39,Elemental Magick,
Zeitgeist,"Mind 2, Spirit 2, Time 2",Tradition Book: Cult of Ecstasy (First Edition) page 65; Tradition Book: Cult of Ecstasy (Revised) page 73; Enlightened Grimoire p. 160,"Summoning, Binding and Warding",
Zen and the Art of Panhandling,"Time 5, Prime 3",Mage: The Ascension First Edition page 229; Enlightened Grimoire p. 147,Space-Time Management,
